id,name,set_number,picture,theme_id,,,,
1214,Turbo Force,1461-1,,82,,,,
1215,Galactic Scout,1462-1,,129,,,,
1216,Treasure Cart,1463-1,,190,,,,
1217,Pirate Lookout,1464-1,,148,,,,
1218,Star Wars: Chronicles of the Force,1465449671-1,,497,,,,
1219,"Ninjago: Character Encyclopedia, Updated Edition",1465450947-1,,497,,,,
1220,Batman vs. The Joker,1465492399-1,,497,,,,
1221,Halloween Ideas,1465493263-1,,497,,,,
1222,Shell Race Car,1467-1,,82,,,,
1223,Shell Tanker,1468-1,,76,,,,
1224,Helicopter,1469-1,,466,,,,
1225,Shell Station,1470-1,,76,,,,
1226,Refrigerated Car with Forklift,147-1,,235,,,,
1227,Holiday Home,1472-1,,69,,,,
1228,Basic Building Set with Gift Item,1474-1,,467,,,,
1229,Airport Security Squad,1475-1,,68,,,,
1230,{Red Race Car Number 3},1477-1,,82,,,,
1231,Mobile Satellite Up-Link,1478-1,,136,,,,
1232,2-Pilot Craft,1479-1,,129,,,,
1233,King's Catapult,1480-1,,190,,,,
1234,City: Emergency Rescue,14807412-1,,497,,,,
1235,Central Station,148-1,,235,,,,
1236,Desert Island,1481-1,,148,,,,
1237,Panda and Friends,1482-1,,505,,,,
1238,Sailor and Parrot,1483-1,,505,,,,
1239,Town Houses,1484-1,,69,,,,
1240,Mobile Car Crane,1489-1,,85,,,,
1241,Town Bank,1490-1,,85,,,,
1242,Fuel Refinery,149-1,,235,,,,
1243,Dual Defender,1491-1,,188,,,,
1244,Battle Cove,1492-1,,148,,,,
1245,Basic Building Set Trial Size,1495-1,,467,,,,
1246,Rally Car,1496-1,,82,,,,
1247,Rally and Pitcrew Team,1497-1,,82,,,,
1248,Spy-Bot,1498-1,,130,,,,
1249,Twin Starfire,1499-1,,130,,,,
1250,Oval Bricks,1500-1,,505,,,,
1251,Straight Track,150-1,,243,,,,
1252,Yellow Bucket,1501-1,,505,,,,
1253,Basic Set and Duffel Bag,1502-2,,504,,,,
1254,Car Building Set,1503-1,,505,,,,
1255,Family Bucket,1504-1,,467,,,,
1256,House Building Set,1504-2,,505,,,,
1257,House and Car Building Sets,1505-1,,505,,,,
1258,Town Value Pack,1506-1,,67,,,,
1259,Space Value Pack,1507-1,,130,,,,
1260,Town Value Pack,1509-1,,82,,,,
1261,Castle Mini Figures,15-Jan,,447,,,,
1262,Space Value Pack,1510-1,,130,,,,
1263,Curved Track,151-1,,243,,,,
1264,Denken mit Lego (Thinking with Lego 250pcs),1512-1,,517,,,,
1265,Basic Set with Storage Case,1512-2,,467,,,,
1266,Denken mit Lego (Thinking with Lego 900pcs),1513-1,,517,,,,
1267,Basic Building Set Gift Item,1513-2,,467,,,,
1268,Basic Building Set Trial Size,1514-1,,467,,,,
1269,Town Value Pack,1515-1,,82,,,,
1270,Theater with Play-Scenes,1516-1,,390,,,,
1271,Race Car,1517-1,,82,,,,
1272,Race Car Repair,1518-1,,82,,,,
1273,Large House Set,15-Feb,,433,,,,
1274,Basic Set with Storage Case,1520-1,,467,,,,
1275,Town 2 for 1 Bonus Offer,1520-2,,67,,,,
1276,Two Train Wagons,152-1,,235,,,,
1277,Basic Building Set Trial Size,1521-1,,467,,,,
1278,Basic Building Set Trial Size,1522-1,,467,,,,
1279,Basic Set Trial Size,1523-1,,467,,,,
1280,Basic Set Trial Size,1524-1,,467,,,,
1281,Container Lorry,1525-1,,70,,,,
1282,World Pen,1525-2,,501,,,,
1283,Space Radar Buggy,1526-1,,130,,,,
1284,Dragster,1528-1,,82,,,,
1285,Large Train Wagon,153-1,,235,,,,
1286,Betsy's Bedroom,1540-1,,652,,,,
1287,Switch Track - 1 Right and 1 Left,154-1,,243,,,,
1288,Duplo Medium Bucket,1544-1,,505,,,,
1289,Build-A-Rabbit,1545-1,,229,,,,
1290,Airplane,1546-1,,466,,,,
1291,Black Knights Boat,1547-1,,188,,,,
1292,Stena Line Ferry,1548-1,,471,,,,
1293,Helicopter,1548-2,,466,,,,
1294,Santa and Chimney,1549-1,,227,,,,
1295,Sterling Super Caravelle,1550-1,,412,,,,
1296,"2 Cross Rails, 8 Straight Tracks, 4 Base Plates",155-1,,243,,,,
1297,Chick,1551-1,,229,,,,
1298,Sterling Luggage Carrier,1551-2,,412,,,,
1299,Maersk Line Container Truck,1552-1,,70,,,,
1300,STERLING Boeing 727,1552-2,,412,,,,
1301,Silja Line Ferry,1554-1,,471,,,,
1302,Santa Claus,1555-1,,227,,,,
1303,Sterling Airways Biplane,1555-2,,412,,,,
1304,Christmas Hearts,1556-1,,227,,,,
1305,Scooter,1557-1,,130,,,,
1306,Mobile Command Trailer,1558-1,,130,,,,
1307,Clown Car,1559-1,,632,,,,
1308,Glory Glider,1560-1,,68,,,,
1309,Lufthansa Boeing 727,1560-2,,412,,,,
1310,Crest Basic Building Set,1560-3,,467,,,,
1311,2 Signals with Automatic Stop / Go Attachment,156-1,,243,,,,
1312,Stunt Chopper,1561-1,,68,,,,
1313,Lufthansa Flight Crew,1561-2,,364,,,,
1314,Straight Track,156-2,,243,,,,
1315,Wave Jumper,1562-1,,77,,,,
1316,Basic Building Set,1562-2,,467,,,,
1317,Lufthansa Double-Decker,1562-3,,412,,,,
1318,Track Blaster,1563-1,,82,,,,
1319,Fabuland Promotion,1570-1,,390,,,,
1320,Crazy Action Contraptions: A LEGO Inventions Book,1570541574-1,,498,,,,
1321,Curved Track,157-1,,243,,,,
1322,Automatic Direction Changer,157-2,,243,,,,
1323,Super Tow Truck,1572-1,,85,,,,
1324,Four Car Auto Transport,157-3,,423,,,,
1325,Finnjet Ferry,1575-1,,471,,,,
1326,Basic Set with Board Game,1575-2,,467,,,,
1327,Happy Face Carry Case,1576-1,,505,,,,
1328,Medium Bucket,1577-1,,467,,,,
1329,Animal Fun,1579-1,,505,,,,
1330,Lunar Scout,1580-1,,130,,,,
1331,Silja Line Ferry,1580-2,,471,,,,
1332,Railroad Crossing Gate,158-1,,243,,,,
1333,Silja Line Ferry,1581-1,,471,,,,
1334,Delivery Truck,1581-2,,75,,,,
1335,Knights Challenge,1584-1,,199,,,,
1336,Basic Set,1588-1,,467,,,,
1337,Town Square,1589-1,,85,,,,
1338,Breakdown Assistance (TCS Version),1589-2,,85,,,,
1339,Breakdown Assistance (ANWB Version),1590-2,,85,,,,
1340,"Crossover, Straight Rails",159-1,,243,,,,
1341,Danone Truck,1591-1,,75,,,,
1342,Bucket,1591-2,,505,,,,
1343,Town Square - Castle Scene,1592-1,,85,,,,
1344,Town Square - Castle Scene (Dutch Version),1592-2,,85,,,,
1345,Super Model,1593-1,,130,,,,
1346,The Unofficial LEGO Builder's Guide,1593270542-1,,497,,,,
1347,"The LEGO Adventure Book, Vol. 3: Robots, Planes, Cities & More!",1593276109-1,,497,,,,
1348,Rabbit and Bear Friend,1594-1,,505,,,,
1349,Girl with Cat,1595-1,,505,,,,
1350,Ghostly Hideout,1596-1,,203,,,,
1351,Castle 3-Pack,1597-1,,186,,,,
1352,Basic Set,1598-1,,467,,,,
1353,Britannia Airways,1599-1,,466,,,,
1354,Magnetic Couplings,160-1,,243,,,,
1355,Conveyance,1601-1,,416,,,,
1356,Giraffe,1602-1,,467,,,,
1357,Trial Size Imagination,1603-1,,467,,,,
1358,Lion,1604-1,,467,,,,
1359,Snail,1605-1,,467,,,,
1360,Car,1606-1,,467,,,,
1361,Helicopter,1607-1,,466,,,,
1362,{Aeroplane},1608-1,,466,,,,
1363,Ship,1609-1,,467,,,,
1364,Transparent Bricks,16-Jan,,443,,,,
1365,Police Car,1610-1,,80,,,,
1366,Martinair Cessna,1610-2,,412,,,,
1367,Battery Wagon with Signal and Direction - Changing,161-1,,243,,,,
1368,Dune Buggy,1611-1,,79,,,,
1369,Martinair DC-9,1611-2,,412,,,,
1370,Race Car,1612-1,,82,,,,
1371,Basic Set in Bucket,1613-1,,467,,,,
1372,Build-a-Farm,1614-1,,632,,,,
1373,Space Combi-Pack,1616-1,,132,,,,
1374,Small Bucket,1617-1,,467,,,,
1375,Storage Bucket,1619-1,,469,,,,
1376,Astro Dart,1620-1,,132,,,,
1377,Factory,1620-2,,75,,,,
1378,Locomotive without Motor,162-1,,235,,,,
1379,Lunar MPV Vehicle,1621-1,,132,,,,
1380,King's Archer,1624-1,,188,,,,
1381,Snowman,1625-1,,227,,,,
1382,Angel,1626-1,,227,,,,
1383,Santa,1627-1,,227,,,,
1384,Santa on Sleigh with Reindeer,1628-1,,227,,,,
1385,Helicopter,1630-1,,68,,,,
1386,Cargo Wagon,163-1,,235,,,,
1387,Black Racer,1631-1,,82,,,,
1388,Motor Boat,1632-1,,77,,,,
1389,Loader Tractor,1633-1,,72,,,,
1390,Fire Dispatch,1635-1,,632,,,,
1391,Small Bucket,1636-1,,467,,,,
1392,Large Bucket,1637-1,,467,,,,
1393,Blue Bucket,1638-1,,467,,,,
1394,Large Bucket,1639-1,,467,,,,
1395,Tuttle the Turtle,1640-1,,505,,,,
1396,Passenger Wagon,164-1,,235,,,,
1397,Crocodile,1641-1,,505,,,,
1398,"Lego Motion 3B, Sea Eagle",1642-1,,468,,,,
1399,"Lego Motion 3B, Sea Eagle - International version",1642-2,,468,,,,
1400,"Lego Motion 2B, Lightning Striker",1643-1,,468,,,,
1401,"Lego Motion 4A, Wind Whirler",1644-1,,468,,,,
1402,"Lego Motion 4A, Wind Whirler - International version",1644-2,,468,,,,
1403,"Lego Motion 1A, Gyro Bird",1645-1,,468,,,,
1404,"Lego Motion 3A, Land Laser",1646-1,,468,,,,
1405,"Lego Motion 3A, Land Laser - International version",1646-2,,468,,,,
1406,"Lego Motion 1B, Turbo Force",1647-1,,468,,,,
1407,"Lego Motion 2A, Swamp Stinger",1648-1,,468,,,,
1408,"Lego Motion 4B, Sea Skimmer",1649-1,,468,,,,
1409,"Lego Motion 4B, Sea Skimmer - International version",1649-2,,468,,,,
1410,Maersk Line [Promotional Container Ship],1650-1,,363,,,,
1411,Cargo Station,165-1,,235,,,,
1412,Basic Building Set Trial Size,1651-1,,467,,,,
1413,Maersk Line Container Truck,1651-2,,70,,,,
1414,Basic Set,1652-1,,467,,,,
1415,Viking Line Ferry,1655-1,,471,,,,
1416,Evacuation Team,1656-1,,74,,,,
1417,Viking Line Ferry,1656-2,,471,,,,
1418,Bird,1657-1,,505,,,,
1419,Viking Line Ferry,1658-1,,471,,,,
1420,Kronprins Frederik Ferry,1660-1,,471,,,,
1421,Flat Wagon,166-1,,235,,,,
1422,Basic Building Set in Bucket,1661-2,,467,,,,
1423,Basic Building Set in Bucket,1662-1,,467,,,,
1424,Basic Building Set in Bucket,1663-1,,467,,,,
1425,Bird,1664-1,,505,,,,
1426,Dual FX Racers,1665-1,,82,,,,
1427,Brick Vac,1666-1,,467,,,,
1428,Basic Building Set Trial Size,1668-1,,469,,,,
1429,Basic Building Set Trial Size,1670-1,,469,,,,
1430,Loading Ramp and Car Transport Wagon,167-1,,235,,,,
1431,Circus,1672-1,,632,,,,
1432,Zoo Train,1673-1,,632,,,,
1433,LEGOLAND Triple Pack,1675-1,,559,,,,
1434,Basic Building Set,1676-1,,467,,,,
1435,Rabbit,1677-1,,229,,,,
1436,Basic Building Set Trial Size,1678-1,,469,,,,
1437,Basic Building Set,1679-1,,467,,,,
1438,Hay Cart with Smugglers,1680-1,,194,,,,
1439,Oval Rattle,1681-1,,663,,,,
1440,Space Shuttle,1682-1,,68,,,,
1441,Pre-School Building Set,1685-1,,505,,,,
1442,Midnight Transport,1687-1,,68,,,,
1443,Large Bucket for Her,1688-1,,467,,,,
1444,Helicopter,1690-1,,68,,,,
1445,Turbo Force,1693-1,,82,,,,
1446,Galactic Scout,1694-1,,129,,,,
1447,Treasure Chest,1695-1,,190,,,,
1448,Pirate Lookout,1696-1,,148,,,,
1449,Basic Building Set Trial Size,1698-1,,469,,,,
1450,Small Bucket,1699-1,,467,,,,
1451,Basic Set,1-Jul,,469,,,,
1452,Push Along Play Train,170-1,,235,,,,
1453,Basic Building Set Trial Size,1701-1,,467,,,,
1454,Fire Fighter 4 x 4,1702-1,,74,,,,
1455,Dalmatian Station Building Set,1703-1,,467,,,,
1456,Ice Planet Satellite Plough,1704-1,,133,,,,
1457,Large Dinosaur Bucket,1705-1,,467,,,,
1458,Large Bucket,1708-1,,469,,,,
1459,Hinges,17-Jan,,443,,,,
1460,Snowmobile,1710-1,,79,,,,
1461,Creative Toolbox,17101-1,,301,,,,
1462,Complete Train Set Without Motor,171-1,,235,,,,
1463,Ice Planet Scooter,1711-1,,133,,,,
1464,Crossbow Cart,1712-1,,186,,,,
1465,Shipwrecked Pirate,1713-1,,148,,,,
1466,Surveillance Scooter,1714-1,,142,,,,
1467,Special Value,1715-1,,473,,,,
1468,Basic Bricks,1715-2,,254,,,,
1469,Starter Set with Building Plates,1716-1,,467,,,,
1470,Freestyle Bricks and Plates,1719-1,,399,,,,
1471,Cactus Canyon Value Pack,1720-1,,83,,,,
1472,Sandypoint Marina Value Pack,1721-1,,83,,,,
1473,Rescue / Ice Planet Combi Pack,1722-1,,559,,,,
1474,Castle / Pirates Combi Pack,1723-1,,559,,,,
1475,Bird,1724-1,,468,,,,
1476,Dinosaur,1725-1,,468,,,,
1477,Girl,1726-1,,468,,,,
1478,Horse,1727-1,,468,,,,
1479,Crystal Crawler,1728-1,,308,,,,
1480,Barnacle Bay Value Pack,1729-1,,148,,,,
1481,Snow Scooter,1730-1,,79,,,,
1482,Ice Planet Scooter,1731-1,,133,,,,
1483,Crossbow Cart,1732-1,,186,,,,
1484,Shipwrecked Pirate,1733-1,,148,,,,
1485,Wizard's Cart,1736-1,,186,,,,
1486,Scorpion Detector,1737-1,,131,,,,
1487,Penguin,1739-1,,505,,,,
1488,Kayak,1740-1,,83,,,,
1489,Car,1741-1,,83,,,,
1490,Van,1742-1,,83,,,,
1491,"Box of Standard Bricks, 5+",1743-1,,473,,,,
1492,Medium Bucket,1744-1,,505,,,,
1493,"Box of Standard Bricks, 3+",1745-1,,473,,,,
1494,Wiz the Wizard,1746-1,,186,,,,
1495,Treasure Surprise,1747-1,,148,,,,
1496,Paravane,1749-1,,308,,,,
1497,Renault Formula 1 Racer,1750-1,,82,,,,
1498,Bucket,1751-1,,505,,,,
1499,Boat with Armour,1752-1,,201,,,,
1500,{Basic Promotional Set},1756-1,,468,,,,
1501,{Basic Promotional Set},1758-1,,468,,,,
1502,Parrot,1759-1,,505,,,,
1503,Go-Cart,1760-1,,82,,,,
1504,Paradisa Speedboat,1761-1,,90,,,,
1505,Go-Cart,1762-1,,82,,,,
1506,Birthday Building Set,1764-1,,505,,,,
1507,Small Freestyle Bucket,1766-1,,399,,,,
1508,{Basic Promotional Set},1767-1,,468,,,,
1509,{Basic Promotional Set},1768-1,,468,,,,
1510,Aircraft,1769-1,,466,,,,
1511,Airport Container Truck,1772-1,,68,,,,
1512,Airline Maintenance Vehicle with Trailer,1773-1,,68,,,,
1513,Aircraft,1774-1,,68,,,,
1514,Jet,1775-1,,68,,,,
1515,Large Bulk Bucket,1776-1,,469,,,,
1516,Sabah Promotional Set: Plane,1777-1,,468,,,,
1517,Sabah Promotional Set: Boat,1778-1,,468,,,,
1518,Sabah Promotional Set: Helicopter,1779-1,,468,,,,
1519,Dino Babies,1781-1,,658,,,,
1520,Discovery Station,1782-1,,86,,,,
1521,Animals Bulk Box,1784-1,,505,,,,
1522,Introducing Crater Critters,1785-1,,126,,,,
1523,Jailbreak Joe,1786-1,,80,,,,
1524,Crater Cruiser,1787-1,,145,,,,
1525,Treasure Chest,1788-1,,148,,,,
1526,Star Hawk II,1789-1,,145,,,,
1527,Shark Fisherman,1790-1,,83,,,,
1528,Windsurfer & Van,1791-1,,83,,,,
1529,Pleasure Cruiser,1792-1,,83,,,,
1530,Space Station Zenon,1793-1,,145,,,,
1531,Dragon Master Chariot,1794-1,,186,,,,
1532,Imperial Cannon,1795-1,,147,,,,
1533,Freestyle Large Monster Bucket,1796-1,,399,,,,
1534,Bonus Bucket,1797-1,,505,,,,
1535,Building Table,1798-1,,473,,,,
1536,Little House Set,1-Aug,,433,,,,
1537,Turtle,1800-1,,505,,,,
1538,Train with 5 Wagons and Circle of Track,180-1,,235,,,,
1539,Tidy Treasure,1802-1,,148,,,,
1540,Crossbow Boat,1804-1,,201,,,,
1541,Small Bucket,1805-1,,505,,,,
1542,Underwater Scooter,1806-1,,308,,,,
1543,Santa Claus and Sleigh,1807-1,,227,,,,
1544,Light Aircraft and Ground Support,1808-1,,68,,,,
1545,Condor Promotional Airplane,1809-1,,466,,,,
1546,Tree and Signs,18-Jan,,443,,,,
1547,"Complete Train Set with Motor, Signals and Switch",181-1,,235,,,,
1548,Safari,1811-1,,632,,,,
1549,Starter Set,1814-1,,664,,,,
1550,Paradisa Lifeguard,1815-1,,90,,,,
1551,Sea Plane with Hut and Boat,1817-1,,83,,,,
1552,Aircraft and Ground Support Equipment and Vehicle,1818-1,,68,,,,
1553,Large Bucket,1819-1,,469,,,,
1554,Train Set with Signal,182-1,,235,,,,
1555,Rally Racers,1821-1,,82,,,,
1556,Sea Claw 7 / Neptune III,1822-1,,308,,,,
1557,Sabah Promotional Set: Yacht,1823-1,,468,,,,
1558,Flying Duck,1824-1,,468,,,,
1559,Racing Car,1825-1,,468,,,,
1560,Bird? Boat? Plane?,1826-1,,468,,,,
1561,Helicopter,1827-1,,468,,,,
1562,{Basic Promotional Set},1828-1,,468,,,,
1563,Complete Train Set with Motor and Signal,183-1,,235,,,,
1564,Maersk Line Container Lorry,1831-1,,70,,,,
1565,Maersk Sealand Container Lorry,1831-2,,70,,,,
1566,Freestyle Cat,1836-1,,399,,,,
1567,Freestyle Duck,1837-1,,399,,,,
1568,Freestyle Bird,1838-1,,399,,,,
1569,Freestyle Fish,1839-1,,399,,,,
1570,Freestyle Set,1840-1,,399,,,,
1571,Plane,1841-1,,470,,,,
1572,Space/Castle Value Pack,1843-1,,126,,,,
1573,Spyrius Fold-Wing Spacecraft,1843-2,,142,,,,
1574,Royal Knight's Catapult,1843-3,,201,,,,
1575,20th Anniversary Jackpot Bucket,1845-1,,469,,,,
1576,Freestyle Set,1846-1,,399,,,,
1577,Freestyle Set,1847-1,,399,,,,
1578,Freestyle Set,1850-1,,399,,,,
1579,Navigator,1853-1,,464,,,,
1580,House with Roof-Windows,1854-1,,69,,,,
1581,Water Park Tub,1856-1,,505,,,,
1582,Basic Bricks,1857-1,,473,,,,
1583,Droid Scout,1858-1,,131,,,,
1584,Sabah Promotional Set: Aeroplane,1859-1,,468,,,,
1585,Freestyle Set,1860-1,,399,,,,
1586,Box of Bricks,1861-1,,505,,,,
1587,Freestyle Trial Set,1863-1,,399,,,,
1588,Airliner,1865-1,,466,,,,
1589,Medium Bulk Bucket,1867-1,,469,,,,
1590,Freestyle Box,1868-1,,399,,,,
1591,South African Flag,1869-1,,468,,,,
1592,Freestyle Set,1870-1,,399,,,,
1593,Hamster Play Time - Friends Magazine - Polish Edition,18703535-1,,494,,,,
1594,Pirates Cannon,1871-1,,148,,,,
1595,Imperial Guard Camp,1872-1,,147,,,,
1596,Pirate Treasure,1873-1,,148,,,,
1597,Polly Pick-Up,1874-1,,469,,,,
1598,Meteor Monitor,1875-1,,128,,,,
1599,Soil Scooper,1876-1,,85,,,,
1600,Crusader's Cart,1877-1,,194,,,,
1601,Small Bucket,1878-1,,467,,,,
1602,Large Bucket,1879-1,,467,,,,
1603,XL Bucket,1880-1,,467,,,,
1604,Small Bucket,1881-1,,467,,,,
1605,Large Bucket,1882-1,,467,,,,
1606,Rabbit Rattle,1883-1,,663,,,,
1607,Small Bucket,1884-1,,467,,,,
1608,XL Bucket,1885-1,,467,,,,
1609,Jin Sato's LEGO Mindstorms: The Master's Technique,1886411565-1,,497,,,,
1610,Scout Patrol Ship,1887-1,,129,,,,
1611,Black Knights Guardshack,1888-1,,188,,,,
1612,Pirate's Treasure Hold,1889-1,,148,,,,
1613,Octan Racer,1890-1,,82,,,,
1614,Four Set Value Pack,1891-1,,559,,,,
1615,Sky Patrol,1895-1,,80,,,,
1616,Trauma Team,1896-1,,78,,,,
1617,Weetabix Dragster,1898-1,,82,,,,
1618,Race Car Number 1,1899-1,,82,,,,
1619,Farm Set,190-1,,364,,,,
1620,Mini Basic Set,1901-2,,469,,,,
1621,Mini Basic Set,1905-1,,469,,,,
1622,Majisto's Tower,1906-1,,186,,,,
1623,Crecer Feliz Giftbox,1907-1,,504,,,,
1624,Farm Family,19-Jan,,443,,,,
1625,Promo Basic Set,1910-1,,469,,,,
1626,Basic Set,1911-1,,469,,,,
1627,Building Set A: Car,1912-1,,468,,,,
1628,Building Set B: Boat,1913-1,,468,,,,
1629,Building Set C: Helicopter,1914-1,,468,,,,
1630,Building Set D: Aircraft,1915-1,,468,,,,
1631,Starion Patrol,1916-1,,140,,,,
1632,McDonald's Happy Meal - Animal,1916-2,,505,,,,
1633,King's Catapult,1917-1,,188,,,,
1634,McDonald's Happy Meal - Animal,1917-2,,505,,,,
1635,McDonald's Happy Meal - Bird,1918-1,,505,,,,
1636,McDonald's Happy Meal - Promotional Set,1919-1,,505,,,,
1637,Ninjago: Ninja vs. Constrictai,19197480-1,,497,,,,
1638,Ninjago: The Tournament of Elements,19198074-1,,497,,,,
1639,Locomotive Piston Assemblies,19-Feb,,456,,,,
1640,Promo Basic Set,1920-1,,469,,,,
1641,Policemen,192-1,,364,,,,
1642,Bucket,1922-1,,505,,,,
1643,Basic Building Set,1922-2,,469,,,,
1644,Viking Line Ferry,1923-1,,471,,,,
1645,Motorcycle,1924-1,,13,,,,
1646,Viking Line Ferry,1924-2,,471,,,,
1647,Guardsman,1929-1,,468,,,,
1648,Basic Building Set + Storage Case,1932-1,,469,,,,
1649,Family,194-1,,364,,,,
1650,Basic Set with Storage Case,1944-1,,469,,,,
1651,Basic Set,1945-1,,505,,,,
1652,Airplane,195-1,,364,,,,
1653,Dairy Tanker,1952-1,,75,,,,
1654,Mouse,1953-1,,468,,,,
1655,Surveillance Scooter,1954-1,,142,,,,
1656,Basic Set with Storage Case,1954-2,,469,,,,
1657,Color Line Ferry,1955-1,,471,,,,
1658,Plush Red Bunny / Rabbit Storage Bag,1955-2,,501,,,,
1659,Building Set with Storage Bunny,1957-1,,505,,,,
1660,Windsurfer,1958-1,,83,,,,
1661,Car Building Set,1958-2,,504,,,,
1662,Ultra-Light,1959-1,,68,,,,
1663,House Building Set,1959-2,,504,,,,
1664,Special Value 96 pieces (Canadian Set),1960-2,,467,,,,
1665,Antique Car,196-1,,364,,,,
1666,Basic Building Set,1962-1,,467,,,,
1667,Basic Set with Storage Case,1963-1,,467,,,,
1668,Basic Building Set,1964-1,,467,,,,
1669,Basic Building Set,1965-1,,469,,,,
1670,Car Repair Shop,1966-1,,85,,,,
1671,System Bonus Pack,1967-1,,559,,,,
1672,Town Value Pack,1967-2,,85,,,,
1673,Space Express,1968-1,,130,,,,
1674,Mini Robot,1969-1,,140,,,,
1675,Space Value Pack,1969-2,,130,,,,
1676,Pirate's Gun Cart,1970-1,,148,,,,
1677,Farm Vehicle and Animals,197-1,,364,,,,
1678,Sears Tower (Brickstructures Version),19710-1,,252,,,,
1679,Black Knight's Battering Ram,1971-1,,188,,,,
1680,John Hancock Center (Brickstructures Version),19720-1,,252,,,,
1681,Go-Cart,1972-1,,12,,,,
1682,Emirates Airliner,1973-1,,68,,,,
1683,Legoland Triple Pack,1974-1,,559,,,,
1684,Ninjago: Ninja vs. Fangpyre,19741980-1,,497,,,,
1685,Flyercracker USA,1974-2,,68,,,,
1686,Smuggler's Hayride,1974-3,,194,,,,
1687,Star Quest,1974-4,,132,,,,
1688,Car and House Building Sets,1975-1,,504,,,,
1689,Town 3-Pack,1976-1,,67,,,,
1690,Space Value Pack,1977-1,,130,,,,
1691,Pre-School Building Set (XL),1977-2,,505,,,,
1692,Build-A-Santa,1978-1,,227,,,,
1693,Town Value Pack,1978-2,,67,,,,
1694,Snowman,1979-1,,227,,,,
1695,Town Value Pack,1979-2,,67,,,,
1696,Santa's Elves,1980-1,,227,,,,
1697,Ninjago: Ninja vs. Venomari,19801974-1,,497,,,,
1698,Cowboys,198-1,,364,,,,
1699,Rattle,1981-1,,663,,,,
1700,Space Value Pack,1983-1,,130,,,,
1701,F1 Race Car,1990-1,,82,,,,
1702,Scooter,199-1,,364,,,,
1703,Racing Pickup,1991-1,,82,,,,
1704,Dragsters,1992-1,,82,,,,
1705,Race Value Pack,1993-1,,82,,,,
1706,Turtle Bucket with Motor,1994-1,,469,,,,
1707,Racer,1995-1,,470,,,,
1708,Town Value Pack,1997-1,,67,,,,
1709,Silja Line Ferry,1998-1,,471,,,,
1710,Space Value Pack,1999-1,,130,,,,
1711,BrickMaster,20001-1,,22,,,,
1712,4x4 Fire Truck,20002-1,,58,,,,
1713,MoreToMath 1-2 Workshop Kit 1-2,2000210-1,,507,,,,
1714,MoreToMath 1-2 Snake,2000211-1,,507,,,,
1715,Dinosaur,20003-1,,22,,,,
1716,Window Exploration Bag,2000409-1,,507,,,,
1717,Jungle Cruiser,20004-1,,264,,,,
1718,Connections Kit,2000413-1,,507,,,,
1719,Starter Kit,2000414-1,,507,,,,
1720,Identity and Landscape Kit,2000415-1,,507,,,,
1721,Duck,2000416-1,,507,,,,
1722,Workshop Kit for Simple Machines,2000418-1,,507,,,,
1723,FLL Trophy Small,2000421-1,,398,,,,
1724,FLL Trophy Medium,2000422-1,,398,,,,
1725,FLL Trophy Large,2000423-1,,398,,,,
1726,Story Starter (Sample Set),2000424-1,,507,,,,
1727,Mindstorms EV3 Workshop Kit,2000425-1,,518,,,,
1728,Identity and Landscape Kit,2000430-1,,507,,,,
1729,Connections Kit,2000431-1,,507,,,,
1730,Workshop Kit Spinning Top,2000442-1,,516,,,,
1731,Workshop Kit Freewheeler,2000443-1,,529,,,,
1732,Workshop Kit Back-to-Back,2000444-1,,516,,,,
1733,Crossing the River,2000445-1,,516,,,,
1734,"Building My SG - Reflect, Celebrate, Inspire",2000446-1,,507,,,,
1735,"Building My SG - Reflect, Celebrate, Inspire (Special Commemorative Edition)",2000446-2,,507,,,,
1736,WeDo Mascot Mini Milo,2000447-1,,521,,,,
1737,Max and Mia,2000448-1,,507,,,,
1738,The Panama Canal,2000451-1,,507,,,,
1739,STEAM Workshop Kit,2000453-1,,516,,,,
1740,FIRST Competitions Medal,2000455-1,,398,,,,
1741,SPIKE Prime Marketing Kit,2000456-1,,507,,,,
1742,Boomtown Build Discover More,2000460-1,,398,,,,
1743,Discover More,2000461-1,,398,,,,
1744,BricQ Motion Prime Personal Learning Kit,2000470-1,,507,,,,
1745,BricQ Motion Essential Personal Learning Kit,2000471-1,,507,,,,
1746,Winged Rahi (Klakk),20005-1,,324,,,,
1747,Clone Turbo Tank,20006-1,,158,,,,
1748,Mindstorms EV3 Replacement Pack 1,2000700-1,,518,,,,
1749,Mindstorms EV3 Replacement Pack 2,2000701-1,,518,,,,
1750,Mindstorms EV3 Replacement Pack 3,2000702-1,,518,,,,
1751,Mindstorms EV3 Replacement Pack 4,2000703-1,,518,,,,
1752,Mindstorms EV3 Replacement Pack 5,2000704-1,,518,,,,
1753,Mindstorms EV3 Replacement Pack 6,2000705-1,,518,,,,
1754,Mindstorms EV3 Replacement Pack 7,2000706-1,,518,,,,
1755,Rubber Band Replacement Pack,2000707-1,,524,,,,
1756,Machines & Mechanisms Replacement Pack 1,2000708-1,,525,,,,
1757,Machines & Mechanisms Replacement Pack 2,2000709-1,,525,,,,
1758,Republic Attack Cruiser,20007-1,,158,,,,
1759,WeDo Replacement Pack 1,2000710-1,,524,,,,
1760,WeDo Replacement Pack 2,2000711-1,,524,,,,
1761,Tech Machines Screwdriver Replacement Pack,2000713-1,,516,,,,
